round,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_loss_flower,train_loss_weighted,algorithm,mu,seed,local_epochs
105,1.5052325745760384,0.7666999002991027,0.4942510714173477,0.5202552687900824,1.5052325745760384,0.03212164935336433,fedprox,0.01,42,20
106,1.398094885192388,0.7647058823529411,0.509283001320472,0.5207908504092492,1.398094885192388,0.02633696817048144,fedprox,0.01,42,20
107,1.4488521372214154,0.7676969092721835,0.5031578533920454,0.5132606301781127,1.4488521372214154,0.00283816073667207,fedprox,0.01,42,20
108,1.4616527880652477,0.765702891326022,0.49764354787773996,0.5099560864582304,1.4616527880652477,0.002044983247440186,fedprox,0.01,42,20
109,1.4638665006500655,0.7647058823529411,0.4943627864002571,0.5048805748801606,1.4638665006500655,0.002221146709259845,fedprox,0.01,42,20
110,1.4899563830966132,0.7676969092721835,0.5095238548400141,0.5248724376507409,1.4899563830966132,0.0009305038897877801,fedprox,0.01,42,20
111,1.4943350357405567,0.765702891326022,0.5108600979795359,0.5260921257426436,1.4943350357405567,0.002978086839453228,fedprox,0.01,42,20
112,1.528952999580893,0.7716849451645065,0.5094933580882058,0.5251765951926642,1.528952999580893,0.004568186821161479,fedprox,0.01,42,20
113,1.5264189324136508,0.7716849451645065,0.5054006556348477,0.5229528743554255,1.5264189324136508,0.008397700319890915,fedprox,0.01,42,20
114,1.5287204069249771,0.7666999002991027,0.5065729068070988,0.5219885075891757,1.5287204069249771,0.0035678131961035873,fedprox,0.01,42,20
115,1.5332029678766892,0.765702891326022,0.5027752497307533,0.5142211240365245,1.5332029678766892,0.008526697720775845,fedprox,0.01,42,20
116,1.4949781899437946,0.7637088733798604,0.5019983940358647,0.5170004588781153,1.4949781899437946,0.0033107868407687077,fedprox,0.01,42,20
117,1.5341112265439476,0.765702891326022,0.49122048489729986,0.5029251656430418,1.5341112265439476,0.003176680021775316,fedprox,0.01,42,20
118,1.5110887475646029,0.7637088733798604,0.5009359946128096,0.5175827020646145,1.5110887475646029,0.0031400491646452213,fedprox,0.01,42,20
119,1.5243437920111127,0.765702891326022,0.5049819486587637,0.5193100632375881,1.5243437920111127,0.0007171869323476393,fedprox,0.01,42,20
120,1.5311228367291085,0.7647058823529411,0.5017387437762145,0.5149477855370516,1.5311228367291085,0.0006976849488395716,fedprox,0.01,42,20
